_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,context_2,CV_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
B,Mrajesh2_30,stimulus_13_B,raw_data/wav/Mrajesh2.wav,115.37,115.82,ATRA,Mrajesh2,C,I,ʈ,OTH,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_46,201.22,200.84126,d,FNiralee1,ADA
B,FNiralee1_46,stimulus_14_B,raw_data/wav/FNiralee1.wav,200.84126,201.22,ADA,FNiralee1,C,I,d,OTH,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_28,129.96,129.65566,ʈ,Mrajesh1,ATRA
B,Mnirbhay1_61,stimulus_15_B,raw_data/wav/Mnirbhay1.wav,475.01444,475.43082,ABA,Mnirbhay1,C,I,b,OTH,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_61,209.03307,208.52112,b,Fbhavya2,ABA
A,FNiralee2_64,stimulus_16_A,raw_data/wav/FNiralee2.wav,252.56,253.04,ABHA,FNiralee2,C,I,bʱ,OTH,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_63,479.54849,479.04454,b,Mnirbhay1,ABA
B,Fsakshi1_65,stimulus_17_B,raw_data/wav/Fsakshi1.wav,194.15,194.56529,ABHA,Fsakshi1,C,I,bʱ,OTH,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_61,258.67,258.28,b,Mrajesh1,ABA
B,Mrajesh1_62,stimulus_18_B,raw_data/wav/Mrajesh1.wav,260.76,261.18533,ABA,Mrajesh1,C,I,b,OTH,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_65,272.59,272.19428,bʱ,FNiralee1,ABHA
B,Mrajesh2_48,stimulus_19_B,raw_data/wav/Mrajesh2.wav,183.18347,183.68,ADA,Mrajesh2,C,I,d,OTH,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_48,149.13,148.78,d,Fsakshi1,ADA
A,FNiralee1_65,stimulus_20_A,raw_data/wav/FNiralee1.wav,272.19428,272.59,ABHA,FNiralee1,C,I,bʱ,OTH,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_47,317.12,316.69,d,Mnirbhay2,ADA
B,Mrajesh1_65,stimulus_21_B,raw_data/wav/Mrajesh1.wav,272.14,272.59,ABHA,Mrajesh1,C,I,bʱ,OTH,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_47,129.07,128.7406,d,Fsakshi2,ADA
B,Mrajesh1_47,stimulus_22_B,raw_data/wav/Mrajesh1.wav,203.00796,203.28,ADA,Mrajesh1,C,I,d,OTH,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_65,232.33,231.85597,bʱ,Fbhavya2,ABHA
