AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,phone_1,language_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,phone_2,sex_2,speaker_2,word_2,distance
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,62.668569999999995,63.11956,Mnirbhay1_10,AGHA,10,M,ɡʱ,HIN,t_1348441,TGT,stimuli_raw/wav/Fsakshi1.wav,12,Fsakshi1_12,HIN,56.63,56.2,ɡʱ,False,Fsakshi,AGHA,0.3453661901024606
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,66.42,66.86,Mnirbhay1_12,AGHA,12,M,ɡʱ,HIN,t_0302907,TGT,stimuli_raw/wav/Fsakshi2.wav,12,Fsakshi2_12,HIN,63.6,63.18,ɡʱ,False,Fsakshi,AGHA,0.3796948821573802
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,70.14459000000001,70.56,Mrajesh1_10,AGHA,10,M,ɡʱ,HIN,t_1176871,TGT,stimuli_raw/wav/Fbhavya1.wav,11,Fbhavya1_11,HIN,76.92138,76.48,ɡʱ,False,Fbhavya,AGHA,0.3271291462440697
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,43.01,43.54,Mnirbhay2_11,AGHA,11,M,ɡʱ,HIN,t_0296900,TGT,stimuli_raw/wav/Fsakshi2.wav,10,Fsakshi2_10,HIN,59.4,58.97,ɡʱ,False,Fsakshi,AGHA,0.3087679449595693
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,34.12889000000001,34.52,Mrajesh2_10,AGHA,10,M,ɡʱ,HIN,t_1180393,TGT,stimuli_raw/wav/Fbhavya1.wav,12,Fbhavya1_12,HIN,78.8573,78.43,ɡʱ,False,Fbhavya,AGHA,0.30851397390537016
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,37.54,37.94673,Mrajesh2_12,AGHA,12,M,ɡʱ,HIN,t_0591693,TGT,stimuli_raw/wav/Fbhavya2.wav,11,Fbhavya2_11,HIN,39.98945,39.61802,ɡʱ,False,Fbhavya,AGHA,0.31404545186132427
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,66.42,66.86,Mnirbhay1_12,AGHA,12,M,ɡʱ,HIN,t_0298155,TGT,stimuli_raw/wav/Fsakshi2.wav,10,Fsakshi2_10,HIN,59.4,58.97,ɡʱ,False,Fsakshi,AGHA,0.35991492670614234
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,64.51549,65.00944,Mnirbhay1_11,AGHA,11,M,ɡʱ,HIN,t_0301802,TGT,stimuli_raw/wav/Fsakshi2.wav,12,Fsakshi2_12,HIN,63.6,63.18,ɡʱ,False,Fsakshi,AGHA,0.37203260000850397
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,35.80924,36.21,Mrajesh2_11,AGHA,11,M,ɡʱ,HIN,t_1180442,TGT,stimuli_raw/wav/Fbhavya1.wav,12,Fbhavya1_12,HIN,78.8573,78.43,ɡʱ,False,Fbhavya,AGHA,0.32600425431045155
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,37.54,37.94673,Mrajesh2_12,AGHA,12,M,ɡʱ,HIN,t_0589497,TGT,stimuli_raw/wav/Fbhavya2.wav,10,Fbhavya2_10,HIN,38.00178,37.605259999999994,ɡʱ,False,Fbhavya,AGHA,0.3507819273283355
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,43.01,43.54,Mnirbhay2_11,AGHA,11,M,ɡʱ,HIN,t_1348640,TGT,stimuli_raw/wav/Fsakshi1.wav,12,Fsakshi1_12,HIN,56.63,56.2,ɡʱ,False,Fsakshi,AGHA,0.3421193857264038
