#file onset offset #item word interval
stimuli_raw/wav/Fsakshi2.wav 86.16000 86.43000 Fsakshi2_17 ATXHA 17
stimuli_raw/wav/Fsakshi2.wav 88.17000 88.61000 Fsakshi2_18 ATXHA 18
stimuli_raw/wav/Fsakshi2.wav 94.93000 95.19000 Fsakshi2_19 ADXA 19
stimuli_raw/wav/Fsakshi2.wav 97.10000 97.48000 Fsakshi2_20 ADXA 20
stimuli_raw/wav/Fsakshi2.wav 99.39000 99.77000 Fsakshi2_21 ADXA 21
stimuli_raw/wav/Fsakshi2.wav 106.54000 106.81000 Fsakshi2_22 AZA 22
stimuli_raw/wav/Fsakshi2.wav 108.89000 109.31000 Fsakshi2_23 AZA 23
stimuli_raw/wav/Fsakshi2.wav 111.35000 111.58000 Fsakshi2_24 AZA 24
stimuli_raw/wav/Fsakshi2.wav 116.79986 117.10000 Fsakshi2_25 ADXHA 25
stimuli_raw/wav/Fsakshi2.wav 118.94000 119.21000 Fsakshi2_26 ADXHA 26
stimuli_raw/wav/Fsakshi2.wav 121.12636 121.44000 Fsakshi2_27 ADXHA 27
stimuli_raw/wav/Fsakshi2.wav 129.65566 129.96000 Fsakshi2_28 ATRA 28
stimuli_raw/wav/Fsakshi2.wav 131.80583 132.11000 Fsakshi2_29 ATRA 29
stimuli_raw/wav/Fsakshi2.wav 133.93000 134.35000 Fsakshi2_30 ATRA 30
stimuli_raw/wav/Fsakshi2.wav 141.42000 141.86000 Fsakshi2_31 ATRHA 31
stimuli_raw/wav/Fsakshi2.wav 143.61000 143.98000 Fsakshi2_32 ATRHA 32
stimuli_raw/wav/Fsakshi2.wav 145.65575 146.02000 Fsakshi2_33 ATRHA 33
stimuli_raw/wav/Fsakshi2.wav 153.93255 154.25000 Fsakshi2_34 ADRA 34
stimuli_raw/wav/Fsakshi2.wav 155.99412 156.35000 Fsakshi2_35 ADRA 35
stimuli_raw/wav/Fsakshi2.wav 158.21760 158.51000 Fsakshi2_36 ADRA 36
stimuli_raw/wav/Fsakshi2.wav 165.06857 165.41000 Fsakshi2_37 ADRA 37
stimuli_raw/wav/Fsakshi2.wav 167.24135 167.59000 Fsakshi2_38 ADRA 38
stimuli_raw/wav/Fsakshi2.wav 169.91000 170.32000 Fsakshi2_39 ADRA 39
stimuli_raw/wav/Fsakshi2.wav 177.79000 178.19000 Fsakshi2_40 ATA 40
stimuli_raw/wav/Fsakshi2.wav 180.00000 180.41000 Fsakshi2_41 ATA 41
stimuli_raw/wav/Fsakshi2.wav 182.20000 182.62000 Fsakshi2_42 ATA 42
stimuli_raw/wav/Fsakshi2.wav 190.42000 190.85000 Fsakshi2_43 ATHA 43
stimuli_raw/wav/Fsakshi2.wav 192.55000 192.96000 Fsakshi2_44 ATHA 44
stimuli_raw/wav/Fsakshi2.wav 194.84475 195.17000 Fsakshi2_45 ATHA 45
stimuli_raw/wav/Fsakshi2.wav 200.94355 201.22000 Fsakshi2_46 ADA 46
stimuli_raw/wav/Fsakshi2.wav 203.00796 203.28000 Fsakshi2_47 ADA 47
stimuli_raw/wav/Fsakshi2.wav 205.24572 205.56000 Fsakshi2_48 ADA 48
stimuli_raw/wav/Fsakshi2.wav 212.33605 212.66000 Fsakshi2_49 ADHA 49
stimuli_raw/wav/Fsakshi2.wav 214.45848 214.73746 Fsakshi2_50 ADHA 50
stimuli_raw/wav/Fsakshi2.wav 216.68000 217.12000 Fsakshi2_51 ADHA 51
stimuli_raw/wav/Fsakshi2.wav 224.58000 224.96000 Fsakshi2_52 ANA 52
stimuli_raw/wav/Fsakshi2.wav 226.80000 227.19000 Fsakshi2_53 ANA 53
stimuli_raw/wav/Fsakshi2.wav 229.07000 229.46000 Fsakshi2_54 ANA 54
stimuli_raw/wav/Fsakshi2.wav 234.28000 234.70000 Fsakshi2_55 APA 55
stimuli_raw/wav/Fsakshi2.wav 236.86000 237.26000 Fsakshi2_56 APA 56
stimuli_raw/wav/Fsakshi2.wav 239.40000 239.79000 Fsakshi2_57 APA 57
stimuli_raw/wav/Fsakshi2.wav 247.20264 247.56000 Fsakshi2_58 APHA 58
stimuli_raw/wav/Fsakshi2.wav 249.29000 249.73000 Fsakshi2_59 APHA 59
stimuli_raw/wav/Fsakshi2.wav 251.64000 252.02000 Fsakshi2_60 APHA 60
stimuli_raw/wav/Fsakshi2.wav 258.28000 258.67000 Fsakshi2_61 ABA 61
stimuli_raw/wav/Fsakshi2.wav 260.76000 261.18533 Fsakshi2_62 ABA 62
stimuli_raw/wav/Fsakshi2.wav 264.00000 264.37000 Fsakshi2_63 ABA 63
stimuli_raw/wav/Fsakshi2.wav 270.07000 270.46000 Fsakshi2_64 ABHA 64
stimuli_raw/wav/Fsakshi2.wav 272.14000 272.59000 Fsakshi2_65 ABHA 65
stimuli_raw/wav/Fsakshi2.wav 274.39000 274.86000 Fsakshi2_66 ABHA 66
stimuli_raw/wav/Fsakshi2.wav 282.11385 282.46000 Fsakshi2_67 AMA 67
stimuli_raw/wav/Fsakshi2.wav 284.30000 284.72000 Fsakshi2_68 AMA 68
stimuli_raw/wav/Fsakshi2.wav 286.67200 287.06000 Fsakshi2_69 AMA 69
