m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep13.csv,0.532133083
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep14.csv,0.7014861526
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep15.csv,0.3718017595
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep16.csv,0.7633895039
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep17.csv,0.2744774104
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep18.csv,0.5819515269
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep19.csv,0.9680470275
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep20.csv,0.8457885639
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep21.csv,0.9013298689
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep22.csv,0.9328511698
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep23.csv,0.5920186681
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep24.csv,0.3813163729
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep25.csv,0.7025275965
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep26.csv,0.1227817837
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep27.csv,0.7398653706
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep28.csv,0.2114667599
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep29.csv,0.3262504601
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep30.csv,0.9909489035
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep31.csv,0.1903596445
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep32.csv,0.8704049476
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep33.csv,0.8453708448
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep34.csv,0.7713720296
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep35.csv,0.04230734842
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep36.csv,0.1473420101
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep37.csv,0.8908738472
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep38.csv,0.02791705124
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep39.csv,0.8346608794
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep40.csv,0.5391385307
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep41.csv,0.6943562858
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep42.csv,0.7987757691
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep43.csv,0.7858255137
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep44.csv,0.7859969524
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep45.csv,0.4349337195
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep46.csv,0.6009354118
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep47.csv,0.1819658045
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep48.csv,0.3536141714
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep49.csv,0.7496471555
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep50.csv,0.9893597352
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep51.csv,0.3691141519
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep52.csv,0.2209764898
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep53.csv,0.4718389405
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep54.csv,0.5476362892
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep55.csv,0.3810778364
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep56.csv,0.8983031675
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep57.csv,0.07529683095
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep58.csv,0.9380644744
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep59.csv,0.6006368525
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep60.csv,0.9411773812
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep61.csv,0.569146627
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep62.csv,0.2865129557
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep63.csv,0.3294707795
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep64.csv,0.1592305393
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep65.csv,0.1363397525
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep66.csv,0.5235747523
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep67.csv,0.1834275608
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep68.csv,0.7983570845
Econ,10,10,10,reps,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep69.csv,0.7864488137
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep70.csv,0.08534950103
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_1_loc_0_glob_-1_rep71.csv,0.3039854876
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_1_loc_0_glob_-1_rep72.csv,0.2288819711
Econ+Glob+Loc,10,10,10,reps,hindi,,FALSE,stan_models/master_pos.stan,hindi/reps/econ_1_loc_0_glob_-1_rep73.csv,0.1853123225
