m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff
Glob,0,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.3969155219384,Glob+Loc,Econ,stan_models/master_model.stan,376.1741204939317,-0.6372767439941072,0.9373024157949951
Glob,0,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.3969155219384,Econ,Glob+Loc,stan_models/master_model.stan,535.4014017356094,-11.949691276639184,5.031081659093513
Glob,0,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.3969155219384,Loc,Econ+Glob,stan_models/master_model.stan,4527.439813076286,-6.196033906642798,3.691427559041127
Glob,0,0,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.3969155219384,,Econ+Glob+Loc,stan_models/master_model.stan,7623.420805920614,-6.795171166892313,3.526947594494244
Loc,0,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,7640.274347693194,Econ+Glob+Loc,,stan_models/master_model.stan,8334.93525660201,-10.547784228692532,4.337905669152383
Loc,0,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,7640.274347693194,Econ+Glob,Loc,stan_models/master_model.stan,7000.661547037307,-3.809350494357032,5.012714309352081
Loc,0,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,7640.274347693194,Econ+Loc,Glob,stan_models/master_model.stan,4458.222704302985,-10.328384850475086,4.489783560579523
Loc,0,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,7640.274347693194,Glob+Loc,Econ,stan_models/master_model.stan,8924.71374201565,-3.116049266024989,2.2561492228639004
Loc,0,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,7640.274347693194,Econ,Glob+Loc,stan_models/master_model.stan,9745.818015944446,-3.5731754223622847,5.0769462823705425
Loc,0,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,7640.274347693194,Glob,Econ+Loc,stan_models/master_model.stan,5160.196844375692,-1.6350472749159888,3.447533728437957
Loc,0,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,7640.274347693194,,Econ+Glob+Loc,stan_models/master_model.stan,9257.894110383699,-4.401417341923299,2.5878912753348624
Loc,0,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,8347.530111529166,Econ+Glob+Loc,,stan_models/master_model.stan,4115.825520466082,-0.4269345243362448,4.274469116417884
Loc,0,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,8347.530111529166,Econ+Glob,Loc,stan_models/master_model.stan,3932.2163895359263,-0.7813076736144087,4.460428212105978
Loc,0,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,8347.530111529166,Econ+Loc,Glob,stan_models/master_model.stan,5188.611269088695,-1.9227202114358004,2.7861507413948696
