m_pos_vars_CORRECT,d_coef_econ,econ_sign,d_coef_loc,loc_sign,d_coef_glob,glon_sign,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,INCOR_MOD_econ,INCOR_MOD_glob,INCOR_MOD_loc,econ_match,loc_match,glob_match,NUM_MATCHES,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff,num_zeroes
Glob,0,neg,-1,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130651,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,NO,1,stan_models/master_model.stan,232.2934912,-17.08701625,6.031943554,one
Glob,0,neg,-1,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130651,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,NO,1,stan_models/master_model.stan,9888.288522,-10.66620093,4.548568037,one
Glob,0,neg,-1,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,4105.130651,NA,Econ+Glob+Loc,neg,neg,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,9865.936112,-9.807008316,4.173413105,one
NA,0,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,NO,0,stan_models/master_model.stan,8794.627377,-12.85463837,4.705102354,two
NA,0,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,NO,1,stan_models/master_model.stan,3544.498932,-10.01701236,4.142514429,two
NA,0,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,7718.110274,-12.08555249,4.627993428,two
NA,0,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,NO,1,stan_models/master_model.stan,3593.100437,-7.720689934,3.48760582,two
NA,0,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,5177.01002,-9.198172207,4.010743957,two
NA,0,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326,Glob,Econ+Loc,neg,pos,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,5928.018817,-5.65767184,2.978776409,two
NA,0,neg,0,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,2340.654326,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,1426.986924,-1.716157301,1.726269158,two
NA,0,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,NO,0,stan_models/master_model.stan,6595.357198,-5.615309988,3.11202028,three
NA,0,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,NO,1,stan_models/master_model.stan,1213.1336,-3.526699942,2.674969953,three
NA,0,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,1833.459759,-2.656728909,2.196479962,three
NA,0,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,NO,1,stan_models/master_model.stan,2225.360639,-6.203175824,3.154216448,three
NA,0,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,6318.932554,-0.4979567943,1.397929729,three
NA,0,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182,Glob,Econ+Loc,neg,pos,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,6929.861395,-4.450991513,2.868209476,three
NA,0,neg,0,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,5495.382182,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,8994.707145,-2.118981428,1.596289285,three
Glob,0,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.396916,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,MATCH,1,stan_models/master_model.stan,3641.126656,-9.794374037,5.023916301,two
Glob,0,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.396916,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,7343.655395,-10.67142787,4.923366819,two
Glob,0,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.396916,Econ+Loc,Glob,pos,neg,pos,NO,NO,NO,0,stan_models/master_model.stan,4968.322186,-10.94347255,5.098724218,two
Glob,0,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.396916,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,376.1741205,-0.637276744,0.9373024158,two
Glob,0,neg,0,neg,1,pos,dinst1,hk,Econ+Loc,stan_models/master_model.stan,1344.396916,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,NO,1,stan_models/master_model.stan,535.4014017,-11.94969128,5.031081659,two
