m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,csv_filename.x,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,csv_filename.y,seed.y,elpd_diff,se_diff,elpd_over_se
Loc,0,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,3708.847828561673,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,5302.486037523719,-2.7950039285326707,2.670431166452924,-1.0466489320693533
Loc,0,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,3708.847828561673,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,799.3510420997627,-0.504448402615898,1.5908585663054309,-0.31709192338035175
Loc,0,1,-1,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,3708.847828561673,NA,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,4981.530879539903,0.42344366312694603,0.8819941384422565,0.4800980467679929
Loc,0,1,0,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2650.6388169426937,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2942.377838490065,-2.6146720651481257,2.3678956505502966,-1.1042176054255086
Loc,0,1,0,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2650.6388169426937,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,1020.4881538350601,-2.6056417401218592,2.801466629258233,-0.930099153389443
Loc,0,1,0,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2650.6388169426937,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,4076.8737852945924,0.2258372892937679,1.1372071170035134,0.19858940901534136
Loc,0,1,0,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2650.6388169426937,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,4765.370846947189,-3.6722601370076227,2.280921056722819,-1.6099900196825976
Loc,0,1,0,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2650.6388169426937,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,172.78033560723998,0.4716058534502974,1.583776584359272,0.29777296754332866
Loc,0,1,0,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2650.6388169426937,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,6674.789707124466,-8.450152664703808,4.249001527314557,-1.9887384389914426
Loc,0,1,0,dinst2,hindi,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2650.6388169426937,NA,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,2501.729900149163,0.6321898899725689,1.8066545721965428,0.34992294581467676
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5189.76597497263,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,4622.515287036542,-1.2817381130061474,2.3325198666598377,-0.5495079083041607
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5189.76597497263,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,2667.301580067491,0.2679991349170212,1.7249976676936731,0.15536202740223806
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5189.76597497263,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,4658.820740517462,-2.495868094566571,1.8437504963202482,-1.353690805533513
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5189.76597497263,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,9371.865475248778,3.3344355513033666,3.010172550687206,1.1077223963596814
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5189.76597497263,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,7849.260421469342,3.3255778006060552,2.451953742766474,1.3562971203746668
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5189.76597497263,Loc,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,6015.256884344155,4.412165355726547,2.8791411118989,1.5324588772297307
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5189.76597497263,NA,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,1268.9526172657497,4.168537279985353,2.2661141191742873,1.8395089835565117
