#file onset offset #item word
raw_data/wav/Fsakshi2.wav 342.06684 342.38 Fsakshi2_83 AXA
raw_data/wav/Fsakshi2.wav 344.38074 344.66 Fsakshi2_84 AXA
raw_data/wav/Fsakshi2.wav 353.34 353.68 Fsakshi2_85 AXRA
raw_data/wav/Fsakshi2.wav 355.48557 355.83 Fsakshi2_86 AXRA
raw_data/wav/Fsakshi2.wav 357.56 357.99144 Fsakshi2_87 AXRA
raw_data/wav/Fsakshi2.wav 364.92 365.28 Fsakshi2_88 ASA
raw_data/wav/Fsakshi2.wav 367.12 367.54 Fsakshi2_89 ASA
raw_data/wav/Fsakshi2.wav 369.53 369.89 Fsakshi2_90 ASA
raw_data/wav/Fsakshi2.wav 375.44 375.81 Fsakshi2_91 AHHA
raw_data/wav/Fsakshi2.wav 377.71 378.09 Fsakshi2_92 AHHA
raw_data/wav/Fsakshi2.wav 379.98 380.38 Fsakshi2_93 AHHA
raw_data/wav/Fsakshi2.wav 388.0 388.44 Fsakshi2_94 ARRA
raw_data/wav/Fsakshi2.wav 390.17 390.55 Fsakshi2_95 ARRA
raw_data/wav/Fsakshi2.wav 392.45 392.86 Fsakshi2_96 ARRA
raw_data/wav/Fsakshi2.wav 398.79 399.17 Fsakshi2_97 ARHA
raw_data/wav/Fsakshi2.wav 400.95 401.34 Fsakshi2_98 ARHA
raw_data/wav/Fsakshi2.wav 403.44645 403.85 Fsakshi2_99 ARHA
raw_data/wav/Fsakshi2.wav 410.5558 410.89 Fsakshi2_100 ARTHA
raw_data/wav/Fsakshi2.wav 412.76072 413.13 Fsakshi2_101 ARTHA
raw_data/wav/Fsakshi2.wav 415.23001 415.57 Fsakshi2_102 ARTHA
raw_data/wav/Fsakshi2.wav 421.4169 421.76 Fsakshi2_103 ARTA
raw_data/wav/Fsakshi2.wav 423.5841 423.94 Fsakshi2_104 ARTA
raw_data/wav/Fsakshi2.wav 425.91506 426.27 Fsakshi2_105 ARTA
raw_data/wav/Fsakshi2.wav 432.93925 433.28 Fsakshi2_106 ANRA
raw_data/wav/Fsakshi2.wav 435.27693 435.61 Fsakshi2_107 ANRA
raw_data/wav/Fsakshi2.wav 437.80022 438.15 Fsakshi2_108 ANRA
raw_data/wav/Mnirbhay2.wav 5.70032 6.08702 Mnirbhay2_1 AKA
raw_data/wav/Mnirbhay2.wav 8.61035 9.0036 Mnirbhay2_2 AKA
raw_data/wav/Mnirbhay2.wav 11.61 12.06 Mnirbhay2_3 AKA
raw_data/wav/Mnirbhay2.wav 18.06 18.58 Mnirbhay2_4 AKHA
raw_data/wav/Mnirbhay2.wav 20.64 21.19 Mnirbhay2_5 AKHA
raw_data/wav/Mnirbhay2.wav 23.67 24.19 Mnirbhay2_6 AKHA
raw_data/wav/Mnirbhay2.wav 28.49 28.97 Mnirbhay2_7 AGA
raw_data/wav/Mnirbhay2.wav 31.56 32.06 Mnirbhay2_8 AGA
