CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,amelia_consonants_55,stimulus115_B,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,0.31143714946836,I,C,stimuli/raw/ewan.wav,ewan_54,164.3725,163.7625,p,ewan,EEPEE,0.290676790141477,I,C,stimuli/raw/ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE
B,ewan_14,stimulus26_B,stimuli/raw/ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,0.345422046412121,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_37,97.7525,97.03204,ʊ,amelia,HOODI,0.246523924469293,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI
B,ewan_103,stimulus79_B,stimuli/raw/ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,0.276754752446767,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,0.290704272275212,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
B,ewan_95,stimulus71_B,stimuli/raw/ewan.wav,274.4625,274.9925,EESHEE,ewan,C,I,ʃ,0.294072400458124,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,0.235566745199287,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_47,124.8925,124.1225,ʃ,amelia,EESHEE
A,amelia_consonants_30,stimulus73_A,stimuli/raw/amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,0.268771947297749,I,C,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,0.287107409533448,I,C,stimuli/raw/ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
B,amelia_consonants_44,stimulus122_B,stimuli/raw/amelia_consonants.wav,116.4925,117.1625,ASHAH,amelia,C,A,ʃ,0.246777367250901,A,C,stimuli/raw/ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH,0.213923792568668,A,C,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
B,ewan_54,stimulus118_B,stimuli/raw/ewan.wav,163.7625,164.3725,EEPEE,ewan,C,I,p,0.300872463110483,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,0.266178206938074,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE
B,amelia_vowels_14,stimulus22_B,stimuli/raw/amelia_vowels.wav,35.597,36.2991,HAEDI,amelia,V,I,æ,0.348625972132836,I,V,stimuli/raw/ewan.wav,ewan_21,61.7525,60.9271,i,ewan,HEEDI,0.246523924469293,I,V,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI
B,ewan_2,stimulus18_B,stimuli/raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,0.319237491126456,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,0.240518905673446,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_2,5.3325,4.61383,ɑ,amelia,HADAH
A,amelia_consonants_47,stimulus72_A,stimuli/raw/amelia_consonants.wav,124.1225,124.8925,EESHEE,amelia,C,I,ʃ,0.3126683608368,I,C,stimuli/raw/ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,0.235566745199287,I,C,stimuli/raw/ewan.wav,ewan_95,274.9925,274.4625,ʃ,ewan,EESHEE
B,ewan_76,stimulus70_B,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,0.273891323254516,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH,0.258636858437293,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
A,amelia_consonants_30,stimulus65_A,stimuli/raw/amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,0.310814099570864,I,C,stimuli/raw/ewan.wav,ewan_55,166.9025,166.2925,p,ewan,EEPEE,0.287107409533448,I,C,stimuli/raw/ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
A,ewan_70,stimulus101_A,stimuli/raw/ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,0.310141675348481,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,0.2779611935297,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE
B,ewan_29,stimulus51_B,stimuli/raw/ewan.wav,85.39155,86.1325,HUHDI,ewan,V,I,ʌ,0.333268596461452,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_38,100.07357,99.36865,ʊ,amelia,HOODI,0.244579147714411,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_29,77.88257,77.21549,ʌ,amelia,HUHDI
A,ewan_54,stimulus105_A,stimuli/raw/ewan.wav,163.7625,164.3725,EEPEE,ewan,C,I,p,0.3318805004324,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_47,124.8925,124.1225,ʃ,amelia,EESHEE,0.266178206938074,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE
B,ewan_34,stimulus54_B,stimuli/raw/ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,0.309663045625918,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,0.285098340147308,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_34,90.0925,89.37938,ʊ,amelia,HOODAH
